Small Unit Installation Postcode,Previous Years (2001- June 2019) - Installations Quantity,Previous Years (2001- June 2019) - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW
0000,4,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0200,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0800,66,1436.6,13,76.815,6,271.49,2,13.2,0,0,1,9.3,7,213.645,1,26.46,1,9.1,0,0,0,0
0801,7,134.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0803,2,11.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0804,14,68.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.36
0810,"2,295","13,409.58",48,335.74,45,335.33,33,210.095,45,305.8,8,53.29,196,1721.655,55,350.845,69,449.66,53,366.59,43,383.96
0811,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0812,1202,"6,862.50",31,198.915,22,139.935,22,131.01,24,151.63,3,19.5,107,859.31,30,190.377,46,302.64,31,204.895,42,290.905
0813,6,78.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6,0,0
0814,3,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0820,697,"7,175.83",18,174.05,10,72.68,15,103.225,14,115.66,5,37.2,51,537.675,21,157.695,29,216.03,14,190.935,25,226.81
0821,6,147.003,1,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0822,583,"6,192.03",4,19.625,14,154.31,16,202.43,8,167.745,4,31.155,52,655.055,13,94.38,18,126.595,15,155.945,13,101.69
0828,139,"2,094.49",3,22.5,3,27.21,4,55.09,3,22.08,0,0,13,123.89,3,22.5,10,187.695,4,32.9,5,100.59
0829,22,597.63,1,9.135,0,0,1,98.56,0,0,0,0,2,12.9,0,0,2,47.79,0,0,1,9.135
0830,1352,"7,778.67",30,213.15,29,262.055,19,127.16,22,150.97,4,23.205,109,836.04,27,192.765,31,193.955,42,275.295,42,266.95
0831,9,38.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0832,1567,"8,915.37",44,373.325,35,215.555,28,176.985,29,183.87,6,39.345,132,832.587,42,273.78,40,256.43,32,215.905,38,244.475
0834,155,1019.942,2,15.88,5,40.335,2,12.135,4,31.045,0,0,9,67.575,0,0,1,9.3,4,35.46,5,34.575
0835,330,"1,909.52",6,44.345,8,54.87,8,52.1,10,75.92,0,0,20,219.29,9,66.565,13,158.73,6,42.125,9,64.35
0836,818,"5,158.33",22,191.005,14,110.08,14,194.49,15,111.19,3,27.405,60,455.785,21,150.375,21,167.675,23,181.315,19,157.18
0837,41,292.156,0,0,2,41.6,3,23.04,1,8.99,0,0,1,9.145,2,13,2,17.4,0,0,5,144.14
0838,84,561.327,3,22.125,0,0,0,0,0,0,0,0,5,40.635,4,34.17,1,6.6,0,0,4,31.585
