postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"0800","65","188","21.3","1667","199","1224","244","40","24","1","32376","207,209","48.4"
"0810","2223","9849","22.1","14536","10450","2477","1610","2172","48","3","198075","1,267,682","297.7"
"0812","1168","6486","17.6","7054","5570","1059","425","1144","22","2","101247","647,978","151.9"
"0820","675","5509","10.8","13000","3266","3811","5923","594","78","3","188975","1,209,440","286.2"
"0822","570","8281","5.7","11670","2777","3183","5711","473","87","10","140603","899,862","214"
"0828","131","521","18.8","1946","562","1385","0","98","33","0","58001","371,208","88.4"
"0829","21","331","3.0","498","54","444","0","10","11","0","53328","341,300","80.8"
"0830","1302","6006","21.2","7402","6216","1186","0","1276","26","0","123408","789,812","185.2"
"0832","1519","6102","24.7","8992","7873","730","390","1507","11","1","86298","552,306","129.5"
"0835","322","1311","23.9","1857","1623","234","0","313","9","0","41918","268,277","62.9"
"0836","784","2872","26.6","4890","4412","478","0","765","19","0","79945","511,646","120"
"0837","41","228","17.5","287","237","50","0","40","1","0","8113","51,925","12.3"
"","","228","","","","","","","","","","",""
"0838","81","358","21.2","539","431","108","0","76","5","0","9796","62,696","14.7"
"0840","71","369","19.0","389","378","11","0","70","1","0","6546","41,892","9.8"
"0841","48","309","14.9","459","280","179","0","46","2","0","9994","63,963","15.2"
"0845","58","267","18.0","489","212","277","0","48","10","0","7270","46,528","11.1"
"0846","35","222","14.4","222","150","72","0","32","3","0","0","0","0"
"0850","448","3200","12.7","3865","2155","1710","0","406","42","0","77527","496,170","123.1"
"0852","102","3119","2.3","2993","382","724","1887","71","25","6","8261","52,870","12.8"
"0854","9","293","2.4","103","31","72","0","7","2","0","5539","35,452","8.7"
"0860","86","1177","6.7","478","360","118","0","79","7","0","29800","190,721","48.9"
"0862","22","573","2.4","215","82","133","0","14","8","0","0","0","0"
"0870","2094","8543","23.3","17632","8264","3397","5971","1990","95","9","179322","1,147,661","294.6"
"0872","156","5003","2.0","6671","438","1101","5132","98","44","14","734","4,696","1.2"
"0880","23","1622","0.9","663","45","184","435","15","7","1","0","0","0"
"0886","9","549","0.7","132","21","111","0","4","5","0","10849","69,436","16.6"
"2000","45","821","2.3","1862","71","770","1022","19","23","3","56265","360,097","72.1"
"2007","18","288","4.9","135","40","95","0","14","4","0","16683","106,772","21.4"
"2008","63","1239","3.8","629","120","509","0","47","16","0","19225","123,041","24.7"
"2009","14","575","1.9","707","37","150","520","11","2","1","18489","118,330","23.8"
"2010","135","4175","2.8","892","342","550","0","117","18","0","55246","353,576","71.1"
"2011","32","1410","1.7","325","74","251","0","24","8","0","27559","176,379","35.7"
"2015","181","1882","7.5","1929","471","1266","193","142","38","1","111985","716,707","144.7"
"2016","99","2135","4.3","722","264","173","284","92","6","1","25204","161,303","32.4"
"2017","55","1238","3.2","593","138","455","0","39","16","0","38899","248,954","50"
"2018","271","2675","9.7","1105","873","232","0","259","12","0","55474","355,036","71.4"
"2019","262","2397","9.6","1780","730","1050","0","231","31","0","111059","710,774","145.9"
"2020","247","2236","10.0","2030","675","806","550","223","23","1","89051","569,928","113.3"
"2021","154","4536","3.1","744","461","282","0","141","13","0","40176","257,127","51.8"
"2022","198","2550","7.2","944","598","345","0","184","14","0","33800","216,322","43.5"
"2023","173","1713","8.5","1035","625","410","0","146","27","0","32095","205,406","41.4"
"2024","278","2213","11.7","1349","939","411","0","259","19","0","27898","178,548","35.9"
"2025","94","1730","5.2","397","334","64","0","90","4","0","20893","133,716","26.9"
"2026","397","3876","9.8","1559","1276","282","0","378","19","0","61928","396,340","79.8"
"2027","56","826","5.7","360","193","167","0","47","9","0","18381","117,640","23.7"
"2028","41","596","6.4","194","163","32","0","38","3","0","13647","87,338","17.6"
"2029","121","1325","8.5","608","454","154","0","113","8","0","26894","172,120","34.6"
"2030","297","3521","7.6","1623","1095","528","0","269","28","0","52119","333,559","67.3"
"2031","493","5188","9.1","2243","1586","657","0","474","19","0","92295","590,691","119.1"
"2032","269","3206","8.0","1117","864","253","0","258","11","0","41528","265,780","53.5"
"2033","153","1398","9.9","1273","534","252","487","139","10","4","39241","251,141","50.5"
"2034","326","2669","11.7","1309","1120","189","0","313","13","0","44349","283,832","57.1"
"2035","828","7769","10.3","3183","2596","587","0","798","30","0","99434","636,380","128.1"
"2036","841","6826","11.7","3496","2675","821","0","798","43","0","144448","924,466","187.8"
"2037","211","4451","4.5","903","621","282","0","199","12","0","39238","251,120","50.5"
"2038","261","3005","8.4","924","770","153","0","253","8","0","31250","200,002","40.4"
"2039","192","2600","7.1","747","578","169","0","185","7","0","24977","159,851","32.4"
"2040","619","7217","8.3","2333","1881","453","0","599","20","0","82259","526,460","106.3"
"2041","356","4854","7.2","1166","1049","117","0","348","8","0","37098","237,430","47.8"
"2042","392","5623","6.7","1510","1064","445","0","375","17","0","46923","300,310","60.4"
"2043","96","1781","5.1","416","232","184","0","91","5","0","16899","108,152","21.7"
"2044","308","2723","10.6","2297","846","461","990","288","19","1","57432","367,562","74.8"
"2045","181","2171","7.6","972","679","293","0","165","16","0","35743","228,753","46"
"2046","604","6610","8.7","2518","1864","654","0","576","28","0","89524","572,951","115.6"
"2047","192","2272","8.2","749","651","98","0","187","5","0","34940","223,615","45"
"2048","158","2120","7.0","789","446","343","0","149","9","0","25607","163,884","33"
"2049","251","2637","9.1","976","700","276","0","241","10","0","36567","234,029","47.1"
"2050","130","1144","9.8","846","292","554","0","112","18","0","29015","185,698","37.4"
"2060","137","2293","5.3","976","382","314","280","122","14","1","37266","238,500","48.1"
"2061","20","301","5.3","138","62","75","0","16","4","0","9251","59,204","11.9"
"2062","114","1372","8.1","456","410","45","0","111","3","0","16051","102,724","20.7"
"2063","272","1933","13.1","1285","923","363","0","253","19","0","27190","174,013","35"
"2064","189","1256","12.5","1365","570","795","0","157","32","0","50149","320,953","65.8"
"2065","465","4746","9.3","1906","1345","430","130","441","23","1","81120","519,167","104.7"
"2066","928","6443","13.5","4188","3058","1130","0","873","55","0","100326","642,085","130"
"2067","483","3948","11.6","1971","1426","545","0","456","27","0","74471","476,615","96.3"
"2068","579","5151","10.8","2267","1980","287","0","557","22","0","66930","428,355","86.2"
"2069","517","4118","11.7","2255","1732","523","0","482","35","0","67385","431,262","86.9"
"2070","453","3371","12.8","1884","1605","280","0","432","21","0","57358","367,091","74"
"2071","392","3282","11.1","1726","1329","396","0","365","27","0","54334","347,736","70"
"2072","187","1693","10.2","989","603","386","0","172","15","0","31217","199,789","40.2"
"2073","573","4872","10.9","3021","2058","761","202","530","42","1","74899","479,353","96.4"
"2074","861","6518","12.7","3322","2916","407","0","831","30","0","104607","669,482","134.5"
"2075","661","6235","10.2","2806","2466","340","0","633","28","0","94073","602,068","121.2"
"2076","857","7360","11.1","3836","2795","1041","0","818","39","0","111816","715,620","144"
"2077","1102","7658","13.6","4790","3270","1381","139","1039","62","1","143336","917,348","185"
"2079","368","2422","14.9","1301","1201","100","0","360","8","0","29769","190,524","38.3"
"2080","119","604","18.4","543","392","151","0","111","8","0","19419","124,281","25.5"
"2081","409","1839","22.1","1338","1317","21","0","407","2","0","22743","145,553","29.4"
"2082","400","1858","21.2","1405","1299","107","0","393","7","0","23898","152,947","30.8"
"2083","145","841","16.6","543","450","93","0","140","5","0","11829","75,704","15.3"
"2084","226","1161","17.4","1223","791","431","0","202","24","0","37406","239,397","48.4"
"2085","678","4146","15.8","2714","2095","619","0","655","23","0","61073","390,867","78.7"
"2086","646","4334","14.6","2339","2094","245","0","632","14","0","65602","419,854","84.5"
"2087","628","4174","14.5","2447","2011","436","0","607","21","0","56992","364,751","73.5"
"2088","533","6085","8.2","2351","1887","465","0","502","31","0","97321","622,852","125.4"
"2089","63","1167","5.1","245","203","42","0","60","3","0","23646","151,337","30.5"
"2090","155","1867","7.9","560","457","103","0","148","7","0","28624","183,193","36.9"
"2092","295","2372","11.9","1279","962","317","0","283","12","0","28914","185,047","37.3"
"2093","708","5959","11.4","3004","2310","694","0","681","27","0","76278","488,182","98.4"
"2094","121","1317","8.9","408","354","54","0","117","4","0","14438","92,405","18.6"
"2095","230","1733","12.6","1017","792","225","0","218","12","0","42011","268,868","54.2"
"2096","415","2847","14.1","1562","1345","216","0","401","14","0","36039","230,647","46.5"
"2097","590","3889","14.9","2050","1819","231","0","580","10","0","50814","325,208","65.5"
"2099","1093","7793","13.5","4209","3405","675","129","1054","38","1","121618","778,353","157.3"
"2100","899","6103","13.9","4219","2764","1255","201","847","51","1","130330","834,111","169.5"
"2101","663","4900","12.9","2486","1997","489","0","633","30","0","83974","537,436","108.2"
"2102","353","2023","16.9","1180","965","214","0","341","12","0","39911","255,431","51.7"
"2103","406","2989","12.8","1938","1295","644","0","382","24","0","56117","359,147","72.7"
"2104","156","1622","8.6","693","469","224","0","139","17","0","19304","123,544","24.9"
"2105","80","973","7.9","330","290","40","0","77","3","0","7940","50,817","10.3"
"2106","265","2778","9.3","958","830","127","0","257","8","0","37801","241,929","48.8"
"2107","554","5130","10.4","2295","1881","414","0","535","19","0","66700","426,883","86.2"
"2108","84","1240","6.5","337","297","41","0","81","3","0","18828","120,498","24.3"
"2109","1","195","0.0","21","0","21","0","0","1","0","","",""
"2110","286","2838","9.7","1207","1041","165","0","274","12","0","40698","260,466","52.4"
"2111","456","4025","10.7","1958","1542","416","0","432","24","0","58567","374,831","75.7"
"2112","891","8166","10.6","3526","2724","502","300","862","28","1","110888","709,680","142.7"
"2113","629","5123","11.6","3938","1945","1263","731","596","30","3","115638","740,082","148.8"
"2114","638","5109","12.1","2250","1848","402","0","620","18","0","85572","547,658","110.8"
"2115","367","3840","9.3","1356","1132","225","0","357","10","0","40581","259,721","52.4"
"2116","238","2453","8.3","1663","611","1052","0","204","34","0","68152","436,175","89.7"
"2117","678","7268","8.8","2555","1977","578","0","640","38","0","65214","417,369","83.9"
"2118","1162","6699","17.0","3402","3148","254","0","1140","22","0","89403","572,181","115"
"2119","492","3728","12.7","1862","1641","221","0","475","17","0","44517","284,909","57.3"
"2120","855","6764","12.2","3564","2671","893","0","822","33","0","87458","559,734","112.9"
"2121","1040","7342","13.9","3341","3002","338","0","1017","23","0","98088","627,764","126.2"
"2122","1053","9411","10.9","3262","2729","532","0","1027","26","0","100212","641,354","129"
"2125","1086","5381","19.5","3901","3383","518","0","1047","39","0","75949","486,074","97.7"
"2126","1195","5911","19.9","3878","3448","430","0","1179","16","0","74935","479,583","96.4"
"2127","57","1153","3.4","1440","131","1047","262","39","16","2","55536","355,428","71.3"
"2128","107","556","11.3","2001","234","1371","396","63","42","2","77746","497,576","103.1"
"2130","122","1170","9.7","559","361","198","0","114","8","0","22315","142,817","28.8"
"2131","382","3044","11.7","1625","1009","616","0","356","26","0","58298","373,106","75.1"
"2132","304","2784","10.5","1172","837","335","0","292","12","0","39496","252,775","50.9"
"2133","286","3191","8.7","975","837","138","0","278","8","0","36563","234,003","47.1"
"2134","259","2240","11.0","1023","711","312","0","247","12","0","43842","280,591","56.4"
"2135","630","4684","12.6","2878","2036","842","0","592","38","0","81996","524,771","105.7"
"2136","217","2000","10.1","1031","600","431","0","201","16","0","48260","308,863","63.1"
"2137","663","6001","10.6","2683","2136","547","0","634","29","0","91310","584,384","117.7"
"2138","306","2424","11.6","2239","881","928","429","282","23","1","54229","347,064","70"
"2140","158","1213","12.0","3862","436","325","3101","145","10","3","63818","408,436","82.8"
"2141","1046","6918","14.6","3808","2755","883","170","1011","34","1","141278","904,181","182.9"
"2142","608","5303","10.7","2562","1670","892","0","570","38","0","150307","961,964","196.3"
"2143","387","2418","15.2","1638","1064","574","0","367","20","0","55944","358,041","72.9"
"2144","884","6525","12.7","4033","2400","1633","0","831","53","0","146761","939,271","190.4"
"2145","3231","21338","14.7","12148","8816","2881","451","3142","88","1","361482","2,313,488","468.8"
"2146","957","5700","16.4","3654","2619","500","535","932","24","1","66047","422,704","85.1"
