Small Unit Installation Postcode,Previous Years (2001-2019) - Installations Quantity,Previous Years (2001-2019) - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,May 2020 - Installations Quantity,May 2020 - SGU Rated Output In kW,Jun 2020 - Installations Quantity,Jun 2020 - SGU Rated Output In kW,Jul 2020 - Installations Quantity,Jul 2020 - SGU Rated Output In kW,Aug 2020 - Installations Quantity,Aug 2020 - SGU Rated Output In kW,Sep 2020 - Installations Quantity,Sep 2020 - SGU Rated Output In kW,Oct 2020 - Installations Quantity,Oct 2020 - SGU Rated Output In kW,Nov 2020 - Installations Quantity,Nov 2020 - SGU Rated Output In kW,Dec 2020 - Installations Quantity,Dec 2020 - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0000,4,4.460,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,4.460
0200,1,0.080,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,0.080
0800,95,"2,021.050",1,26.460,1,9.100,0,0.000,0,0.000,2,72.980,1,6.600,2,108.840,0,0.000,2,170.160,1,39.770,1,92.130,0,0.000,0,0.000,1.000,35.200,1.000,6.630,0.000,0.000,108,"2,588.920"
0801,7,134.868,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7,134.868
0803,2,11.685,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,11.685
0804,14,68.950,0,0.000,0,0.000,0,0.000,1,9.360,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15,78.310
0810,"2,670","16,371.491",55,350.845,69,449.660,53,366.590,43,383.960,60,393.735,60,404.255,49,344.805,40,267.720,34,253.215,19,308.670,31,310.510,29,189.750,7,95.535,16.000,154.735,27.000,192.260,5.000,41.000,"3,267","20,878.736"
0811,2,9.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,9.000
0812,"1,411","8,362.798",30,190.377,46,302.640,31,204.895,42,290.905,50,320.680,35,219.435,27,182.815,29,188.670,19,131.480,15,102.585,19,111.460,14,121.945,6,120.580,10.000,62.270,10.000,67.270,4.000,23.520,"1,798","11,004.325"
0813,6,78.949,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7,85.549
0814,3,13.060,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1.000,5.180,0.000,0.000,0.000,0.000,4,18.240
0820,810,"8,216.319",21,157.695,29,216.030,14,190.935,25,226.810,32,286.425,30,427.210,31,308.560,17,126.330,17,109.120,15,371.655,8,238.010,10,77.635,3,30.030,12.000,234.300,9.000,115.690,2.000,28.830,"1,085","11,361.584"
0821,7,156.303,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7,156.303
0822,681,"7,422.354",13,94.380,18,126.595,15,155.945,13,101.690,17,156.750,20,169.775,10,88.415,5,40.840,19,191.145,23,226.190,8,111.530,16,166.775,6,53.985,4.000,41.725,2.000,9.960,3.000,25.130,873,"9,183.184"
0828,165,"2,345.256",3,22.500,10,187.695,4,32.900,5,100.590,6,61.395,3,22.150,5,128.515,1,40.670,4,77.940,2,13.100,3,22.460,8,172.790,1,6.660,9.000,127.335,5.000,61.040,4.000,26.205,238,"3,449.201"
0829,26,718.225,0,0.000,2,47.790,0,0.000,1,9.135,0,0.000,1,32.690,0,0.000,0,0.000,1,19.800,0,0.000,1,9.240,2,35.500,2,18.500,0.000,0.000,0.000,0.000,0.000,0.000,36,890.880
0830,"1,565","9,391.254",27,192.765,31,193.955,42,275.295,42,266.950,41,329.010,25,167.165,26,175.890,14,91.570,18,112.250,19,118.885,27,404.335,19,243.855,10,114.120,12.000,72.855,12.000,84.080,2.000,15.890,"1,932","12,250.124"
0831,9,38.980,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9,38.980
0832,"1,841","10,737.039",42,273.780,40,256.430,32,215.905,38,244.475,46,296.805,32,212.570,31,213.235,24,159.790,18,119.470,16,105.480,29,207.310,14,92.520,10,66.465,16.000,107.030,13.000,86.870,4.000,31.330,"2,246","13,426.504"
0834,177,"1,186.912",0,0.000,1,9.300,4,35.460,5,34.575,11,96.160,7,51.385,4,31.085,2,15.230,3,30.250,4,33.950,3,57.290,4,26.930,2,21.970,1.000,8.450,2.000,12.435,0.000,0.000,230,"1,651.382"
0835,382,"2,356.048",9,66.565,13,158.730,6,42.125,9,64.350,10,84.180,14,110.440,8,62.600,8,52.350,6,48.690,1,5.280,9,58.420,6,76.730,2,15.900,4.000,32.130,3.000,11.450,0.000,0.000,490,"3,245.988"
0836,946,"6,248.286",21,150.375,21,167.675,23,181.315,19,157.180,22,176.645,19,156.910,19,144.745,19,148.260,12,91.280,11,86.785,5,55.570,2,35.550,4,26.750,10.000,69.165,8.000,92.310,4.000,23.070,"1,165","8,011.871"
0837,48,374.931,2,13.000,2,17.400,0,0.000,5,144.140,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2,15.915,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,1.000,9.250,60,574.636
0838,92,624.087,4,34.170,1,6.600,0,0.000,4,31.585,4,36.400,2,18.340,2,15.700,0,0.000,1,9.240,2,13.200,2,18.340,3,84.740,0,0.000,1.000,34.650,0.000,0.000,1.000,9.100,119,936.152
0839,15,320.020,1,6.615,0,0.000,1,6.650,0,0.000,0,0.000,0,0.000,3,51.280,0,0.000,1,39.960,0,0.000,0,0.000,0,0.000,1,6.600,0.000,0.000,0.000,0.000,0.000,0.000,22,431.125
0840,94,559.390,0,0.000,2,13.215,1,9.295,1,6.600,2,13.860,2,15.855,3,25.155,1,6.615,1,6.600,2,15.700,0,0.000,0,0.000,0,0.000,2.000,8.480,1.000,9.240,0.000,0.000,112,690.005
0841,54,511.525,0,0.000,2,18.600,0,0.000,2,15.815,3,118.000,1,9.240,1,6.600,0,0.000,2,18.600,1,9.240,0,0.000,2,16.960,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,68,724.580
0845,62,510.396,1,6.490,2,13.000,1,10.400,1,10.890,1,6.600,0,0.000,0,0.000,0,0.000,1,19.800,0,0.000,1,6.660,0,0.000,0,0.000,1.000,8.250,0.000,0.000,0.000,0.000,71,592.486
0846,40,270.650,1,9.145,1,9.300,1,2.640,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,1.000,6.600,0.000,0.000,44,298.335
0847,12,176.345,1,1.320,0,0.000,1,6.490,2,47.600,0,0.000,0,0.000,0,0.000,2,13.500,0,0.000,1,9.250,1,6.600,1,4.200,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21,265.305
0850,524,"4,692.474",10,130.850,16,115.610,16,169.565,10,106.230,10,81.810,46,232.155,10,90.820,17,88.980,39,133.650,40,137.225,29,138.790,7,46.810,5,38.840,9.000,61.375,5.000,38.050,1.000,6.660,794,"6,309.894"
0851,45,264.175,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,61.200,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,46,325.375
0852,115,"1,290.340",5,135.920,2,14.890,1,6.300,1,9.100,6,87.020,3,23.760,0,0.000,6,41.280,2,15.540,2,71.940,4,55.240,3,128.040,1,11.100,1.000,9.250,0.000,0.000,0.000,0.000,152,"1,899.720"
0853,1,2.650,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,2.650
0854,10,139.395,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,19.800,0,0.000,0.000,0.000,1.000,30.000,0.000,0.000,14,189.195
0860,110,623.379,0,0.000,0,0.000,1,6.600,5,33.000,0,0.000,0,0.000,0,0.000,1,9.000,3,25.080,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,1.000,33.150,0.000,0.000,121,730.209
0861,18,106.495,3,15.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21,121.595
0862,27,293.330,0,0.000,0,0.000,5,23.100,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,50.160,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33,366.590
0870,"2,264","13,000.472",18,228.255,21,138.494,31,191.945,14,97.105,34,258.675,19,138.400,23,433.590,17,229.300,26,224.855,14,155.310,13,102.920,19,331.480,4,94.970,10.000,117.780,9.000,61.700,5.000,32.445,"2,541","15,837.696"
0871,57,407.380,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57,407.380
0872,152,"1,699.337",3,30.190,1,78.210,5,120.820,0,0.000,0,0.000,3,17.370,2,12.320,1,7.680,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,5.000,157.720,7.000,101.280,0.000,0.000,180,"2,231.527"
0873,91,651.514,3,17.995,3,22.440,2,18.280,2,13.110,7,54.220,3,22.440,6,36.790,0,0.000,4,26.400,2,14.210,4,29.950,4,73.800,0,0.000,1.000,6.630,0.000,0.000,0.000,0.000,132,987.779
0874,14,114.870,0,0.000,1,6.600,1,6.490,0,0.000,0,0.000,0,0.000,1,6.600,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0.000,0.000,0.000,0.000,1.000,6.290,18,140.850
0875,94,555.476,1,6.600,0,0.000,5,32.905,3,19.400,6,39.400,0,0.000,1,6.320,1,6.615,5,69.890,3,20.890,5,36.530,1,6.570,0,0.000,2.000,14.300,0.000,0.000,0.000,0.000,127,814.896
0880,22,228.491,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,10.710,0,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23,239.201
